181407 tcriss    20   0 12.299g  23456  10268 S   0.0  0.1   0:00.04 java
181407 tcriss    20   0 12.362g  53512  11120 S  54.5  0.2   0:00.10 java
181407 tcriss    20   0 12.362g  53724  11232 S   9.1  0.2   0:00.11 java
181407 tcriss    20   0 12.362g  53724  11232 S   9.1  0.2   0:00.12 java
181407 tcriss    20   0 12.362g  56504  11388 S  27.3  0.2   0:00.15 java
181407 tcriss    20   0 12.362g  56504  11388 S   9.1  0.2   0:00.16 java
181407 tcriss    20   0 12.362g  56504  11388 S   8.3  0.2   0:00.17 java
181407 tcriss    20   0 12.362g  56504  11388 S  18.2  0.2   0:00.19 java
181407 tcriss    20   0 12.362g  56504  11388 S   9.1  0.2   0:00.20 java
181407 tcriss    20   0 12.362g  56504  11388 S   9.1  0.2   0:00.21 java
181407 tcriss    20   0 12.362g  56504  11388 S   9.1  0.2   0:00.22 java
181407 tcriss    20   0 12.362g  56504  11388 S  18.2  0.2   0:00.24 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.25 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.26 java
181407 tcriss    20   0 12.362g  58552  11388 S  18.2  0.2   0:00.28 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.29 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.30 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.31 java
181407 tcriss    20   0 12.362g  58552  11388 S  18.2  0.2   0:00.33 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.34 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.35 java
181407 tcriss    20   0 12.362g  58552  11388 S  18.2  0.2   0:00.37 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.38 java
181407 tcriss    20   0 12.362g  58552  11388 S   9.1  0.2   0:00.39 java
181407 tcriss    20   0 12.362g  58552  11388 S  18.2  0.2   0:00.41 java
